year,type,debt
2000,MBA,33060
2000,Education,22470
2000,MA,30730
2000,MS,31320
2000,Medicine,87020
2000,Law,57490
2004,MBA,42720
2004,Education,31780
2004,MA,37420
2004,MS,35150
2004,Medicine,118690
2004,Law,82080
2008,MBA,47500
2008,Education,39340
2008,MA,47960
2008,MS,42910
2008,Medicine,135510
2008,Law,94350
2012,MBA,51430
2012,Education,58720
2012,MA,66340
2012,MS,60900
2012,Medicine,182610
2012,Law,140420
2016,MBA,65090
2016,Education,54180
2016,MA,71470
2016,MS,61200
2016,Medicine,241560
2016,Law,142870